name,strand,Assay title,ontology_curie,biosample_name,biosample_type,data_source,nonzero_mean,grp
hCAGE CL:0000650,-,hCAGE,CL:0000650,mesangial cell,primary_cell,fantom,88.14716339111328,
hCAGE CL:0000708,-,hCAGE,CL:0000708,leptomeningeal cell,primary_cell,fantom,47.9016227722168,
hCAGE CL:0000731,-,hCAGE,CL:0000731,urothelial cell,primary_cell,fantom,67.40660858154297,
hCAGE CL:0000746,-,hCAGE,CL:0000746,cardiac muscle cell,primary_cell,fantom,72.80142974853516,HEART
hCAGE CL:0000767,-,hCAGE,CL:0000767,basophil,primary_cell,fantom,62.97188949584961,
hCAGE CL:0000775,-,hCAGE,CL:0000775,neutrophil,primary_cell,fantom,36.77899932861328,IMMUNE
hCAGE CL:0000784,-,hCAGE,CL:0000784,plasmacytoid dendritic cell,primary_cell,fantom,89.53435516357422,IMMUNE
hCAGE CL:0000798,-,hCAGE,CL:0000798,gamma-delta T cell,primary_cell,fantom,66.08777618408203,IMMUNE
hCAGE CL:0000840,-,hCAGE,CL:0000840,immature conventional dendritic cell,primary_cell,fantom,32.85494613647461,IMMUNE
hCAGE CL:0001016,-,hCAGE,CL:0001016,immature CD1a-positive Langerhans cell,primary_cell,fantom,27.767858505249023,
hCAGE CL:0002057,-,hCAGE,CL:0002057,"CD14-positive, CD16-negative classical monocyte",primary_cell,fantom,17.50489616394043,IMMUNE
hCAGE CL:0002138,-,hCAGE,CL:0002138,endothelial cell of lymphatic vessel,primary_cell,fantom,57.86992263793945,ARTERY
hCAGE CL:0002140,-,hCAGE,CL:0002140,acinar cell of sebaceous gland,primary_cell,fantom,89.7684555053711,
hCAGE CL:0002144,-,hCAGE,CL:0002144,capillary endothelial cell,primary_cell,fantom,66.49445343017578,
hCAGE CL:0002166,-,hCAGE,CL:0002166,epithelial cell of Malassez,primary_cell,fantom,40.9921989440918,
hCAGE CL:0002167,-,hCAGE,CL:0002167,olfactory epithelial cell,primary_cell,fantom,18.670610427856445,
hCAGE CL:0002188,-,hCAGE,CL:0002188,glomerular endothelial cell,primary_cell,fantom,45.9676513671875,
hCAGE CL:0002224,-,hCAGE,CL:0002224,lens epithelial cell,primary_cell,fantom,24.04073143005371,
hCAGE CL:0002231,-,hCAGE,CL:0002231,epithelial cell of prostate,primary_cell,fantom,25.89071273803711,
hCAGE CL:0002252,-,hCAGE,CL:0002252,epithelial cell of esophagus,primary_cell,fantom,180.217529296875,
hCAGE CL:0002304,-,hCAGE,CL:0002304,non-pigmented ciliary epithelial cell,primary_cell,fantom,22.071800231933594,
hCAGE CL:0002306,-,hCAGE,CL:0002306,epithelial cell of proximal tubule,primary_cell,fantom,71.96795654296875,
hCAGE CL:0002327,-,hCAGE,CL:0002327,mammary gland epithelial cell,primary_cell,fantom,26.254535675048828,
hCAGE CL:0002328,-,hCAGE,CL:0002328,bronchial epithelial cell,primary_cell,fantom,36.56751251220703,LUNG
hCAGE CL:0002363,-,hCAGE,CL:0002363,keratocyte,primary_cell,fantom,73.38771057128906,
hCAGE CL:0002367,-,hCAGE,CL:0002367,trabecular meshwork cell,primary_cell,fantom,105.23827362060547,
hCAGE CL:0002368,-,hCAGE,CL:0002368,respiratory epithelial cell,primary_cell,fantom,33.22234344482422,
hCAGE CL:0002372,-,hCAGE,CL:0002372,myotube,primary_cell,fantom,42.713294982910156,MUSCLE
hCAGE CL:0002397,-,hCAGE,CL:0002397,"CD14-positive, CD16-positive monocyte",primary_cell,fantom,13.204062461853027,IMMUNE
hCAGE CL:0002453,-,hCAGE,CL:0002453,oligodendrocyte precursor cell,primary_cell,fantom,151.70761108398438,
hCAGE CL:0002504,-,hCAGE,CL:0002504,enteric smooth muscle cell,primary_cell,fantom,35.44852828979492,ARTERY
hCAGE CL:0002521,-,hCAGE,CL:0002521,subcutaneous fat cell,primary_cell,fantom,77.64310455322266,IMMUNE
hCAGE CL:0002536,-,hCAGE,CL:0002536,amniotic epithelial cell,primary_cell,fantom,76.5748062133789,
hCAGE CL:0002537,-,hCAGE,CL:0002537,amnion mesenchymal stem cell,primary_cell,fantom,89.0509033203125,
hCAGE CL:0002539,-,hCAGE,CL:0002539,aortic smooth muscle cell,primary_cell,fantom,63.35017776489258,ARTERY
hCAGE CL:0002540,-,hCAGE,CL:0002540,mesenchymal stem cell of the bone marrow,primary_cell,fantom,27.279977798461914,
hCAGE CL:0002543,-,hCAGE,CL:0002543,vein endothelial cell,primary_cell,fantom,67.78170776367188,
hCAGE CL:0002544,-,hCAGE,CL:0002544,aortic endothelial cell,primary_cell,fantom,64.3360824584961,
hCAGE CL:0002545,-,hCAGE,CL:0002545,thoracic aorta endothelial cell,primary_cell,fantom,122.50443267822266,ARTERY
